,Date,Occasion,Top10Gross,PercentChangeTop10,OverallGross,PercentChangeOverall,Releases,Number1Release,Week,Datetime
0,"Dec 30-Jan 5, 1995",,104912780,-15.5%,129355750,-14.5%,24,Dumb and Dumber,52,1994-12-30
1,Dec 23-29,,124185931,+61.1%,151317247,+79.3%,25,Dumb and Dumber,51,1994-12-23
2,Dec 16-22,,77084969,+46%,84409997,+44.5%,18,Dumb and Dumber,50,1994-12-16
3,Dec 9-15,,52809728,-1.7%,58398769,<0.1%,16,Disclosure,49,1994-12-09
4,Dec 2-8,,53696958,-48.3%,58434710,-48.4%,13,The Santa Clause,48,1994-12-02
5,Nov 25-Dec 1,,103767213,-15.2%,113344962,-11.5%,17,The Santa Clause,47,1994-11-25
6,Nov 18-24,,122296105,+19.9%,128132383,+20.8%,18,Star Trek: Generations,46,1994-11-18
7,Nov 11-17,,101981853,+66.1%,106077085,+55.4%,17,Interview with the Vampire: The Vampire Chronicles,45,1994-11-11
8,Nov 4-10,,61404585,+7.6%,68244729,+1.6%,18,Stargate,44,1994-11-04
9,Oct 28-Nov 3,,57092129,+1.3%,67190611,+2.6%,20,Stargate,43,1994-10-28
10,Oct 21-27,,56366630,-13.4%,65459148,-8.5%,20,Pulp Fiction,42,1994-10-21
11,Oct 14-20,,65096096,+5.9%,71532095,+12.6%,17,Pulp Fiction,41,1994-10-14
12,Oct 7-13,,61464499,+20.7%,63507411,+14.6%,14,The Specialist,40,1994-10-07
13,Sep 30-Oct 6,,50943185,+19.9%,55414676,+17.8%,17,The River Wild,39,1994-09-30
14,Sep 23-29,,42497490,-7.8%,47039212,-14.1%,16,Timecop,38,1994-09-23
15,Sep 16-22,,46071282,+8.4%,54782097,+10.7%,19,Timecop,37,1994-09-16
16,Sep 9-15,,42503459,-42.1%,49501071,-47.2%,16,Forrest Gump,36,1994-09-09
17,Sep 2-8,,73371227,-1.5%,93677837,+2.7%,21,Forrest Gump,35,1994-09-02
18,Aug 26-Sep 1,,74466218,-21.7%,91258437,-15.2%,19,Natural Born Killers,34,1994-08-26
19,Aug 19-25,,95126030,-21.5%,107598155,-15.5%,16,Forrest Gump,33,1994-08-19
20,Aug 12-18,,121189797,-20.5%,127326462,-18.8%,14,Clear and Present Danger,32,1994-08-12
21,Aug 5-11,,152505812,+2.3%,156859604,+2.3%,14,Clear and Present Danger,31,1994-08-05
22,Jul 29-Aug 4,,149108665,-2.3%,153268456,-2.7%,15,The Mask,30,1994-07-29
23,Jul 22-28,,152576304,+2.8%,157536891,+3.6%,14,Forrest Gump,29,1994-07-22
24,Jul 15-21,,148351548,+6.4%,152062148,+2.8%,15,True Lies,28,1994-07-15
25,Jul 8-14,,139486333,+1.9%,147991030,+1.2%,15,Forrest Gump,27,1994-07-08
26,Jul 1-7,,136868098,-4.1%,146262947,-1.1%,15,The Lion King,26,1994-07-01
27,Jun 24-30,,142698462,+49.2%,147869516,+47.7%,15,The Lion King,25,1994-06-24
28,Jun 17-23,,95671757,+6.8%,100128570,+8.8%,14,Wolf,24,1994-06-17
29,Jun 10-16,,89564865,+12.6%,92000126,+12%,15,Speed,23,1994-06-10
30,Jun 3-9,,79522892,-28.3%,82155646,-27.9%,16,The Flintstones,22,1994-06-03
31,May 27-Jun 2,,110915916,+75.2%,113871603,+68.1%,14,The Flintstones,21,1994-05-27
32,May 20-26,,63325726,+21.8%,67723479,+11.2%,16,Maverick,20,1994-05-20
33,May 13-19,,52007706,+69.6%,60904660,+53.8%,21,When a Man Loves a Woman,19,1994-05-13
34,May 6-12,,30658999,-5.1%,39601207,-14.3%,22,Four Weddings and a Funeral,18,1994-05-06
35,Apr 29-May 5,,32301514,-3%,46212698,-3%,22,Four Weddings and a Funeral,17,1994-04-29
36,Apr 22-28,,33301989,-12.9%,47628584,-8.2%,22,Four Weddings and a Funeral,16,1994-04-22
37,Apr 15-21,,38235515,-26.3%,51865193,-21.4%,23,Four Weddings and a Funeral,15,1994-04-15
38,Apr 8-14,,51901407,-7.8%,66019229,-8.6%,21,D2: The Mighty Ducks,14,1994-04-08
39,Apr 1-7,,56281795,+8.3%,72230655,+12.2%,22,D2: The Mighty Ducks,13,1994-04-01
40,Mar 25-31,,51963433,-1.9%,64384917,-4.4%,23,Naked Gun 33 1/3: The Final Insult,12,1994-03-25
41,Mar 18-24,,52973577,+15.4%,67327304,+7%,26,Naked Gun 33 1/3: The Final Insult,11,1994-03-18
42,Mar 11-17,,45916444,+1.3%,62937478,-3.4%,22,Guarding Tess,10,1994-03-11
43,Mar 4-10,,45339472,-14.5%,65146750,-4%,22,Ace Ventura: Pet Detective,9,1994-03-04
44,Feb 25-Mar 3,,53030188,-32.3%,67843544,-27.3%,18,On Deadly Ground,8,1994-02-25
45,Feb 18-24,,78335899,+25.2%,93382215,+24.8%,19,On Deadly Ground,7,1994-02-18
46,Feb 11-17,,62550113,-4.3%,74854958,-9.1%,21,Ace Ventura: Pet Detective,6,1994-02-11
47,Feb 4-10,,65386534,+11.5%,82317228,+16%,24,Ace Ventura: Pet Detective,5,1994-02-04
48,Jan 28-Feb 3,,58631446,-9.6%,70983794,-8.7%,22,Mrs. Doubtfire,4,1994-01-28
49,Jan 21-27,,64886870,-18.4%,77781152,-18%,20,Philadelphia,3,1994-01-21
50,Jan 14-20,,79563896,+13.2%,94861011,+19.6%,25,Philadelphia,2,1994-01-14
51,Jan 7-13,,70298892,-23.8%,79306498,-25%,19,Mrs. Doubtfire,1,1994-01-07
